metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
agentil_software.netweaver.abap.abap_instance_memory.extended_memory_total,gauge,,mebibyte,,Total memory available per instance,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.extended_memory_usage,gauge,,mebibyte,,Extended memory usage per instance ,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.extended_memory_usage_ratio,gauge,,percent,,Extended memory usage per instance,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.heap_memory_peak_usage,gauge,,mebibyte,,Peak memory usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.heap_memory_peak_usage_ratio,gauge,,percent,,Peak memory usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.heap_memory_usage,gauge,,mebibyte,,Heap memory usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.heap_memory_usage_ratio,gauge,,percent,,Heap memory usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.paging_memory_used,gauge,,percent,,Paging memory usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_instance_memory.rolling_memory_used,gauge,,percent,,Rolling memory usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_response_time.abap_db_request_time,gauge,,millisecond,,Average DB request time per step,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_response_time.abap_db_request_time_ratio,gauge,,percent,,Average DB request time ratio vs total response time,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_response_time.abap_response_time,gauge,,millisecond,,Average total response time per step,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.abap_response_time.abap_steps_rate,gauge,,,,Average number of steps per minute,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.icm.icm_connections_percentage_used,gauge,,percent,,ICM connections usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.icm.icm_queues_percentage_used,gauge,,percent,,ICM connections usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.icm.icm_status,gauge,,,,ICM status,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.icm.icm_thread_percentage_used,gauge,,percent,,ICM threads usage,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.pixi_abap_messages.pixi_abap_messages_status_count,count,,message,,Number of messages per status,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.qrfc.qrfc_in_entries_count,count,,entry,,Number of inbound QRFC entries,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.qrfc.qrfc_in_errors_count,count,,error,,Number of inbound QRFC errors,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.qrfc.qrfc_out_entries_count,count,,entry,,Number of outbound QRFC entries,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.qrfc.qrfc_out_errors_count,count,,error,,Number of outbound QRFC errors,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_abap_dispatcher.dispatcher_nb_written_requests_in_period,gauge,,request,,The number of requests written per queue,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_abap_dispatcher.dispatcher_queues_nb_waiting,gauge,,request,,The number of waiting request per queue,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_abap_dispatcher.dispatcher_queues_percentage_used,gauge,,percent,,The fill ratio per queue,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_abap_workprocesses.workprocesses_free,gauge,,process,,Free workprocesses per task,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_abap_workprocesses.workprocesses_percentage_used,gauge,,percent,,Used workprocesses per task,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_abap_workprocesses.workprocesses_used,gauge,,process,,Used workprocesses per task,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_batch_inputs.failed_batchinputs_count,count,,error,,Batch inputs errors,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_batch_inputs.failed_batchinputs_total_count,count,,error,,Total Batch inputs errors,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_buffers.buffer_directory_used,gauge,,percent,,Buffer directory used,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_buffers.buffer_hit_ratio,gauge,,percent,,Buffer hit ratio,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_buffers.buffer_percentage_used,gauge,,percent,,Buffer used space,0,agentil_software_sap_netweaver,,
agentil_software.netweaver.abap.sap_buffers.buffer_quality,gauge,,percent,,Buffer quality,0,agentil_software_sap_netweaver,,
