metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
cds.netapp.aiqum.aggregate_details.dc,gauge,,,,This shows the discrete count of aggregates.,1,crest_data_systems_netapp_aiqum,aggregate_details.dc,
cds.netapp.aiqum.aggregate_details.space_block_storage,gauge,,,,This shows the total block-storage of the aggregate.,1,crest_data_systems_netapp_aiqum,aggregate_details.space_block_storage,
cds.netapp.aiqum.aggregate_performance_details.iops,gauge,,,,This shows the iops of the aggregate.,1,crest_data_systems_netapp_aiqum,aggregate_performance_details.iops,
cds.netapp.aiqum.aggregate_performance_details.latency,gauge,,,,This shows the latency of the aggregate.,1,crest_data_systems_netapp_aiqum,aggregate_performance_details.latency,
cds.netapp.aiqum.aggregate_performance_details.performance_capacity_available_iops_percent,gauge,,,,This shows the percentage of available performance iops of the aggregate.,1,crest_data_systems_netapp_aiqum,aggregate_performance_details.performance_capacity_available_iops_percent,
cds.netapp.aiqum.aggregate_performance_details.performance_capacity_used_percent,gauge,,,,This shows the percentage of used performance capacity of the aggregate.,1,crest_data_systems_netapp_aiqum,aggregate_performance_details.performance_capacity_used_percent,
cds.netapp.aiqum.aggregate_performance_details.throughput,gauge,,,,This shows the throughput of the aggregate.,1,crest_data_systems_netapp_aiqum,aggregate_performance_details.throughput,
cds.netapp.aiqum.aggregate_performance_details.utilization_percent,gauge,,,,This shows the utilization percent of the aggregate.,1,crest_data_systems_netapp_aiqum,aggregate_performance_details.utilization_percent,
cds.netapp.aiqum.aggregate_raid_details.block_storage_primary_raid_size,gauge,,,,This shows the primary raid size of the aggregate-raids.,1,crest_data_systems_netapp_aiqum,aggregate_raid_details.block_storage_primary_raid_size,
cds.netapp.aiqum.cluster_node_details.performance_capacity_used,gauge,,,,This shows the performance capacity used of the cluster node.,1,crest_data_systems_netapp_aiqum,cluster_node_details.performance_capacity_used,
cds.netapp.aiqum.cluster_node_details.uptime,gauge,,,,This shows the uptime of the cluster node.,1,crest_data_systems_netapp_aiqum,cluster_node_details.uptime,
cds.netapp.aiqum.cluster_performance_details.iops,gauge,,,,This shows the iops of the cluster.,1,crest_data_systems_netapp_aiqum,cluster_performance_details.iops,
cds.netapp.aiqum.cluster_performance_details.period,gauge,,,,This shows the period of the cluster.,1,crest_data_systems_netapp_aiqum,cluster_performance_details.period,
cds.netapp.aiqum.cluster_performance_details.throughput,gauge,,,,This shows the throughput of the cluster.,1,crest_data_systems_netapp_aiqum,cluster_performance_details.throughput,
cds.netapp.aiqum.cluster_storage_details.dc,gauge,,,,This shows the discrete count of cluster.,1,crest_data_systems_netapp_aiqum,cluster_storage_details.dc,
cds.netapp.aiqum.cluster_storage_details.storage,gauge,,,,This shows the storage details of the cluster.,1,crest_data_systems_netapp_aiqum,cluster_storage_details.storage,
cds.netapp.aiqum.ethernet_port_performace_details.utilization_percent,gauge,,,,This shows the utilization percent of the ethernet port.,1,crest_data_systems_netapp_aiqum,ethernet_port_performace_details.utilization_percent,
cds.netapp.aiqum.ethernet_port_performance_details.dc,gauge,,,,This shows the discrete count of the ethernet port.,1,crest_data_systems_netapp_aiqum,ethernet_port_performance_details.dc,
cds.netapp.aiqum.ethernet_port_performance_details.throughput,gauge,,,,This shows the throughput of the ethernet port.,1,crest_data_systems_netapp_aiqum,ethernet_port_performance_details.throughput,
cds.netapp.aiqum.ethernet_port_performance_details.utilization_percent,gauge,,,,This shows the utilization percent of the ethernet port.,1,crest_data_systems_netapp_aiqum,ethernet_port_performance_details.utilization_percent,
cds.netapp.aiqum.fibre_channel_ports_detail.dc,gauge,,,,This shows the discrete count of the fibre channel port.,1,crest_data_systems_netapp_aiqum,fibre_channel_ports_detail.dc,
cds.netapp.aiqum.fibre_channel_ports_detail.fabric_connected_speed,gauge,,,,This shows the fabric connected speed of the fibre channel port.,1,crest_data_systems_netapp_aiqum,fibre_channel_ports_detail.fabric_connected_speed,
cds.netapp.aiqum.fibre_channel_ports_performance_details.throughput,gauge,,,,This shows the throughput of the fibre channel port.,1,crest_data_systems_netapp_aiqum,fibre_channel_ports_performance_details.throughput,
cds.netapp.aiqum.fibre_channel_ports_performance_details.utilization_percent,gauge,,,,This shows the utilization percent of the fibre channel port.,1,crest_data_systems_netapp_aiqum,fibre_channel_ports_performance_details.utilization_percent,
cds.netapp.aiqum.ip_interface_performance_details.iops,gauge,,,,This shows the iops of the ip interface.,1,crest_data_systems_netapp_aiqum,ip_interface_performance_details.iops,
cds.netapp.aiqum.ip_interface_performance_details.latency,gauge,,,,This shows the latency of the ip interface.,1,crest_data_systems_netapp_aiqum,ip_interface_performance_details.latency,
cds.netapp.aiqum.ip_interface_performance_details.throughput,gauge,,,,This shows the throughput of the ip interface.,1,crest_data_systems_netapp_aiqum,ip_interface_performance_details.throughput,
cds.netapp.aiqum.lun_performance_details.iops,gauge,,,,This shows the iops of the lun.,1,crest_data_systems_netapp_aiqum,lun_performance_details.iops,
cds.netapp.aiqum.lun_performance_details.latency,gauge,,,,This shows the latency of the lun.,1,crest_data_systems_netapp_aiqum,lun_performance_details.latency,
cds.netapp.aiqum.lun_performance_details.throughput,gauge,,,,This shows the throughput of the lun.,1,crest_data_systems_netapp_aiqum,lun_performance_details.throughput,
cds.netapp.aiqum.lun_storage_details.dc,gauge,,,,This shows the discrete count of the lun.,1,crest_data_systems_netapp_aiqum,lun_storage_details.dc,
cds.netapp.aiqum.lun_storage_details.space_size,gauge,,,,This shows the total space of the lun storage.,1,crest_data_systems_netapp_aiqum,lun_storage_details.space_size,
cds.netapp.aiqum.lun_storage_details.space_used,gauge,,,,This shows the space used of the lun storage.,1,crest_data_systems_netapp_aiqum,lun_storage_details.space_used,
cds.netapp.aiqum.volume_performance_details.iops,gauge,,,,This shows the iops of the volume.,1,crest_data_systems_netapp_aiqum,volume_performance_details.iops,
cds.netapp.aiqum.volume_performance_details.latency,gauge,,,,This shows the latency of the volume.,1,crest_data_systems_netapp_aiqum,volume_performance_details.latency,
cds.netapp.aiqum.volume_performance_details.throughput,gauge,,,,This shows the throughput of the volume.,1,crest_data_systems_netapp_aiqum,volume_performance_details.throughput,
cds.netapp.aiqum.volume_storage_details.space,gauge,,,,This shows the space details of the volume.,1,crest_data_systems_netapp_aiqum,volume_storage_details.space,
cds.netapp.aiqum.cluster_inventory.license_details,gauge,,,,This shows the license details of NetApp AIQUM.,0,crest_data_systems_netapp_aiqum,license_details,
