metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
cds.netapp.eseries.santricity.array.configuration.controller.summary,gauge,,,,This shows the Array Configuration Summary.,0,crest_data_systems_netapp_eseries_santricity,array.configuration.controller.summary,
cds.netapp.eseries.santricity.array.configuration.tray.summary,gauge,,,,This shows the summary of Volume Groups/Pools.,0,crest_data_systems_netapp_eseries_santricity,array.configuration.tray.summary,
cds.netapp.eseries.santricity.array.configuration.volumeGroup.summary,gauge,,,,This shows the summary of Disk Pools.,0,crest_data_systems_netapp_eseries_santricity,array.configuration.volumeGroup.summary,
cds.netapp.eseries.santricity.array.configuration.volume.summary,gauge,,,,This shows the summary of Volumes.,0,crest_data_systems_netapp_eseries_santricity,array.configuration.volume.summary,
cds.netapp.eseries.santricity.array.configuration.drive.summary,gauge,,,,This shows the summary of Drives.,0,crest_data_systems_netapp_eseries_santricity,array.configuration.drive.summary,
cds.netapp.eseries.santricity.performance.array.readIOps.bycontroller,gauge,,,,This shows the Read IOPS by Controller.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readIOps.bycontroller,
cds.netapp.eseries.santricity.performance.array.writeIOps.bycontroller,gauge,,,,This shows the Write IOPS by Controller.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeIOps.bycontroller,
cds.netapp.eseries.santricity.performance.array.readResponseTime.bycontroller,gauge,,,,This shows the Read Latency by Controller.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readResponseTime.bycontroller,
cds.netapp.eseries.santricity.performance.array.writeResponseTime.bycontroller,gauge,,,,This shows the Write Latency by Controller.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeResponseTime.bycontroller,
cds.netapp.eseries.santricity.performance.array.readThroughput.bycontroller,gauge,,,,This shows the Read Throughput by Controller.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readThroughput.bycontroller,
cds.netapp.eseries.santricity.performance.array.writeThroughput.bycontroller,gauge,,,,This shows the Write Throughput by Controller.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeThroughput.bycontroller,
cds.netapp.eseries.santricity.performance.array.cpuAvgUtilizationPerCore.bycontroller,gauge,,,,This shows the CPU Utilization by Controller.,0,crest_data_systems_netapp_eseries_santricity,performance.array.cpuAvgUtilizationPerCore.bycontroller,
cds.netapp.eseries.santricity.performance.volumegrp.readIOps.byvolume,gauge,,,,This shows the Read IOPS by Volume.,0,crest_data_systems_netapp_eseries_santricity,performance.volumegrp.readIOps.byvolume,
cds.netapp.eseries.santricity.performance.volumegrp.writeIOps.byvolume,gauge,,,,This shows the Write IOPS by Volume.,0,crest_data_systems_netapp_eseries_santricity,performance.volumegrp.writeIOps.byvolume,
cds.netapp.eseries.santricity.performance.volumegrp.readResponseTime.byvolume,gauge,,,,This shows the Read Latency by Volume.,0,crest_data_systems_netapp_eseries_santricity,performance.volumegrp.readResponseTime.byvolume,
cds.netapp.eseries.santricity.performance.volumegrp.writeResponseTime.byvolume,gauge,,,,This shows the Write Latency by Volume.,0,crest_data_systems_netapp_eseries_santricity,performance.volumegrp.writeResponseTime.byvolume,
cds.netapp.eseries.santricity.performance.volumegrp.readThroughput.byvolume,gauge,,,,This shows the Read Throughput by Volume.,0,crest_data_systems_netapp_eseries_santricity,performance.volumegrp.readThroughput.byvolume,
cds.netapp.eseries.santricity.performance.volumegrp.writeThroughput.byvolume,gauge,,,,This shows the Write Throughput by Volume.,0,crest_data_systems_netapp_eseries_santricity,performance.volumegrp.writeThroughput.byvolume,
cds.netapp.eseries.santricity.performance.controller.readIOps.byvolumegrp,gauge,,,,This shows the Read IOPS by Volume Groups/Pools.,0,crest_data_systems_netapp_eseries_santricity,performance.controller.readIOps.byvolumegrp,
cds.netapp.eseries.santricity.performance.controller.writeIOps.byvolumegrp,gauge,,,,This shows the Write IOPS by Volume Groups/Pools.,0,crest_data_systems_netapp_eseries_santricity,performance.controller.writeIOps.byvolumegrp,
cds.netapp.eseries.santricity.performance.controller.readResponseTime.byvolumegrp,gauge,,,,This shows the Read Latency by Volume Groups/Pools.,0,crest_data_systems_netapp_eseries_santricity,performance.controller.readResponseTime.byvolumegrp,
cds.netapp.eseries.santricity.performance.controller.writeResponseTime.byvolumegrp,gauge,,,,This shows the Write Latency by Volume Groups/Pools.,0,crest_data_systems_netapp_eseries_santricity,performance.controller.writeResponseTime.byvolumegrp,
cds.netapp.eseries.santricity.performance.controller.readThroughput.byvolumegrp,gauge,,,,This shows the Read Throughput by Volume Groups/Pools.,0,crest_data_systems_netapp_eseries_santricity,performance.controller.readThroughput.byvolumegrp,
cds.netapp.eseries.santricity.performance.controller.writeThroughput.byvolumegrp,gauge,,,,This shows the Write Throughput by Volume Groups/Pools.,0,crest_data_systems_netapp_eseries_santricity,performance.controller.writeThroughput.byvolumegrp,
cds.netapp.eseries.santricity.performance.array.readIOps.bydrive.channel,gauge,,,,This shows the Read IOPS by Drive Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readIOps.bydrive.channel,
cds.netapp.eseries.santricity.performance.array.writeIOps.bydrive.channel,gauge,,,,This shows the Write IOPS by Drive Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeIOps.bydrive.channel,
cds.netapp.eseries.santricity.performance.array.readResponseTime.bydrive.channel,gauge,,,,This shows the Read Latency by Drive Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readResponseTime.bydrive.channel,
cds.netapp.eseries.santricity.performance.array.writeResponseTime.bydrive.channel,gauge,,,,This shows the Write Latency by Drive Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeResponseTime.bydrive.channel,
cds.netapp.eseries.santricity.performance.array.readThroughput.bydrive.channel,gauge,,,,This shows the Read Throughput by Drive Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readThroughput.bydrive.channel,
cds.netapp.eseries.santricity.performance.array.writeThroughput.bydrive.channel,gauge,,,,This shows the Write Throughput by Drive Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeThroughput.bydrive.channel,
cds.netapp.eseries.santricity.performance.array.readIOps.byhost.channel,gauge,,,,This shows the Read IOPS by Host Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readIOps.byhost.channel,
cds.netapp.eseries.santricity.performance.array.writeIOps.byhost.channel,gauge,,,,This shows the Write IOPS by Host Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeIOps.byhost.channel,
cds.netapp.eseries.santricity.performance.array.readResponseTime.byhost.channel,gauge,,,,This shows the Read Latency by Host Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.readResponseTime.byhost.channel,
cds.netapp.eseries.santricity.performance.array.writeResponseTime.byhost.channel,gauge,,,,This shows the Write Latency by Host Channel.,0,crest_data_systems_netapp_eseries_santricity,performance.array.writeResponseTime.byhost.channel,
