metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
cds.netapp.ontap.aggr.avg_total_transfer,gauge,,,,This shows the average of total transfer of the aggregates.,1,crest_data_systems_netapp_ontap,aggr.avg_total_transfer,
cds.netapp.ontap.aggr.max_total_transfer,gauge,,,,This shows the maximum value of total transfer of the aggregates.,1,crest_data_systems_netapp_ontap,aggr.max_total_transfer,
cds.netapp.ontap.aggregates_summary.percent_used_capacity,gauge,,,,This shows the used capacity's percentage value of the aggregates.,1,crest_data_systems_netapp_ontap,aggregates_summary.percent_used_capacity,
cds.netapp.ontap.aggregates_summary.size_available,gauge,,,,This shows the available size of the aggregates.,1,crest_data_systems_netapp_ontap,aggregates_summary.size_available,
cds.netapp.ontap.aggregates_summary.size_total,gauge,,,,This shows the total size of the aggregates.,1,crest_data_systems_netapp_ontap,aggregates_summary.size_total,
cds.netapp.ontap.aggregates_summary.size_used,gauge,,,,This shows the used size of the aggregates.,1,crest_data_systems_netapp_ontap,aggregates_summary.size_used,
cds.netapp.ontap.dc_aggregate_uuid,gauge,,,,This shows the distinct count of aggregates.,1,crest_data_systems_netapp_ontap,dc_aggregate_uuid,
cds.netapp.ontap.dc_cluster_node_uuid,gauge,,,,This shows the distinct count of cluster nodes.,1,crest_data_systems_netapp_ontap,dc_cluster_node_uuid,
cds.netapp.ontap.dc_volume_id_attributes_uuid,gauge,,,,This shows the distinct count of volumes.,1,crest_data_systems_netapp_ontap,dc_volume_id_attributes_uuid,
cds.netapp.ontap.dc_vserver_uuid,gauge,,,,This shows the distinct count of vservers.,1,crest_data_systems_netapp_ontap,dc_vserver_uuid,
cds.netapp.ontap.disk.avg_user_read_latency,gauge,,,,This shows the average of disk's user read latency.,1,crest_data_systems_netapp_ontap,disk.avg_user_read_latency,
cds.netapp.ontap.disk.cp_read_blocks,gauge,,,,This shows the cp read blocks rate of the disk.,1,crest_data_systems_netapp_ontap,disk.cp_read_blocks,
cds.netapp.ontap.disk.cp_read_latency,gauge,,,,This shows the cp read latency of the disk.,1,crest_data_systems_netapp_ontap,disk.cp_read_latency,
cds.netapp.ontap.disk.disk_busy_percent,gauge,,,,This shows the disk busy's percentage value of the disk.,1,crest_data_systems_netapp_ontap,disk.disk_busy_percent,
cds.netapp.ontap.disk.max_user_read_latency,gauge,,,,This shows the maximum value of user read latency of the disk.,1,crest_data_systems_netapp_ontap,disk.max_user_read_latency,
cds.netapp.ontap.disk.skip_blocks,gauge,,,,This shows the skip blocks of the disk.,1,crest_data_systems_netapp_ontap,disk.skip_blocks,
cds.netapp.ontap.disk.user_read_blocks,gauge,,,,This shows the user read blocks rate of the disk.,1,crest_data_systems_netapp_ontap,disk.user_read_blocks,
cds.netapp.ontap.disk.user_read_latency,gauge,,,,This shows the user read latency of the disk.,1,crest_data_systems_netapp_ontap,disk.user_read_latency,
cds.netapp.ontap.disk.user_write_blocks,gauge,,,,This shows the user write blocks rate of the disk.,1,crest_data_systems_netapp_ontap,disk.user_write_blocks,
cds.netapp.ontap.disk.user_write_latency,gauge,,,,This shows the user write latency of the disk.,1,crest_data_systems_netapp_ontap,disk.user_write_latency,
cds.netapp.ontap.lun_inv_details.size,gauge,,,,This shows the total size of the LUN.,1,crest_data_systems_netapp_ontap,lun_inv_details.size,
cds.netapp.ontap.lun_inv_details.size_used,gauge,,,,This shows the used size of the LUN.,1,crest_data_systems_netapp_ontap,lun_inv_details.size_used,
cds.netapp.ontap.lun.avg_latency,gauge,,,,This shows the average latency of the LUN.,1,crest_data_systems_netapp_ontap,lun.avg_latency,
cds.netapp.ontap.lun.avg_read_latency,gauge,,,,This shows the average read latency of the LUN.,1,crest_data_systems_netapp_ontap,lun.avg_read_latency,
cds.netapp.ontap.lun.avg_write_latency,gauge,,,,This shows the average write latency of the LUN.,1,crest_data_systems_netapp_ontap,lun.avg_write_latency,
cds.netapp.ontap.lun.read_ops,gauge,,,,This shows the read operation rate of the LUN.,1,crest_data_systems_netapp_ontap,lun.read_ops,
cds.netapp.ontap.lun.total_ops,gauge,,,,This shows the total operation rate of the LUN.,1,crest_data_systems_netapp_ontap,lun.total_ops,
cds.netapp.ontap.lun.write_ops,gauge,,,,This shows the write operation rate of the LUN.,1,crest_data_systems_netapp_ontap,lun.write_ops,
cds.netapp.ontap.qtree_associate_aggregate,gauge,,,,This shows the associated aggregates of the QTrees.,1,crest_data_systems_netapp_ontap,qtree_associate_aggregate,
cds.netapp.ontap.system_node_summary.failed_fan_count,gauge,,,,This shows the failed fan count of system nodes.,1,crest_data_systems_netapp_ontap,system_node_summary.failed_fan_count,
cds.netapp.ontap.system_node_summary.failed_power_supply_count,gauge,,,,This shows the failed power supply count of system nodes.,1,crest_data_systems_netapp_ontap,system_node_summary.failed_power_supply_count,
cds.netapp.ontap.volume_associate_aggregate,gauge,,,,This shows the associated aggregates of the volumes.,1,crest_data_systems_netapp_ontap,volume_associate_aggregate,
cds.netapp.ontap.volume_details.percentage_size_used,gauge,,,,This shows the percentage value of used size of the volumes.,1,crest_data_systems_netapp_ontap,volume_details.percentage_size_used,
cds.netapp.ontap.volume_details.percentage_snapshot_reserve,gauge,,,,This shows the percentage value of snapshot reserved of the volumes.,1,crest_data_systems_netapp_ontap,volume_details.percentage_snapshot_reserve,
cds.netapp.ontap.volume_details.size_available,gauge,,,,This shows the available size of the volumes.,1,crest_data_systems_netapp_ontap,volume_details.size_available,
cds.netapp.ontap.volume_details.size_total,gauge,,,,This shows the total size of the volumes.,1,crest_data_systems_netapp_ontap,volume_details.size_total,
cds.netapp.ontap.volume_details.size_used,gauge,,,,This shows the used size of the volumes.,1,crest_data_systems_netapp_ontap,volume_details.size_used,
cds.netapp.ontap.volume.avg_average_latency,gauge,,,,This shows the average value of average latency of the volumes.,1,crest_data_systems_netapp_ontap,volume.avg_average_latency,
cds.netapp.ontap.volume.avg_latency,gauge,,,,This shows the average latency of the volumes.,1,crest_data_systems_netapp_ontap,volume.avg_latency,
cds.netapp.ontap.volume.max_average_latency,gauge,,,,This shows the maximum value of average latency of the volumes.,1,crest_data_systems_netapp_ontap,volume.max_average_latency,
cds.netapp.ontap.volume.other_latency,gauge,,,,This shows the other latency of the volumes.,1,crest_data_systems_netapp_ontap,volume.other_latency,
cds.netapp.ontap.volume.other_ops,gauge,,,,This shows the other operation of the volumes.,1,crest_data_systems_netapp_ontap,volume.other_ops,
cds.netapp.ontap.volume.read_blocks,gauge,,,,This shows the read blocks rate of the volumes.,1,crest_data_systems_netapp_ontap,volume.read_blocks,
cds.netapp.ontap.volume.read_data,gauge,,,,This shows the read data of the volumes.,1,crest_data_systems_netapp_ontap,volume.read_data,
cds.netapp.ontap.volume.read_latency,gauge,,,,This shows the read latency of the volumes.,1,crest_data_systems_netapp_ontap,volume.read_latency,
cds.netapp.ontap.volume.read_ops,gauge,,,,This shows the read operation rate of the volumes.,1,crest_data_systems_netapp_ontap,volume.read_ops,
cds.netapp.ontap.volume.total_ops,gauge,,,,This shows the total operation rate of the volumes.,1,crest_data_systems_netapp_ontap,volume.total_ops,
cds.netapp.ontap.volume.write_blocks,gauge,,,,This shows the write block of the volumes.,1,crest_data_systems_netapp_ontap,volume.write_blocks,
cds.netapp.ontap.volume.write_data,gauge,,,,This shows the write data rate of the volumes.,1,crest_data_systems_netapp_ontap,volume.write_data,
cds.netapp.ontap.volume.write_latency,gauge,,,,This shows the write latency of the volumes.,1,crest_data_systems_netapp_ontap,volume.write_latency,
cds.netapp.ontap.volume.write_ops,gauge,,,,This shows the write operation rate of the volumes.,1,crest_data_systems_netapp_ontap,volume.write_ops,
cds.netapp.ontap.cluster_inventory.license_details,gauge,,,,This shows the license details of NetApp OnTap.,0,crest_data_systems_netapp_ontap,license_details,
