metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
datadog.marketplace.ioconnect.mulesoft_anypoint,gauge,,,,,0,io_connect_mulesoft_anypoint,
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_production.assigned,gauge,,cpu,,Gets the vCores assigned to prod environments,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_production.assigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_production.reassigned,gauge,,cpu,,Gets the vCores reassigned to prod environments,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_production.reassigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_sandbox.assigned,gauge,,cpu,,Gets the vCores assigned to sandbox environments,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_sandbox.assigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_sandbox.reassigned,gauge,,cpu,,Gets the vCores reassigned to sandbox environments,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_sandbox.reassigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_design.assigned,gauge,,cpu,,Gets the vCores assigned to design environments,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_design.assigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_design.reassigned,gauge,,cpu,,Gets the vCores reassigned to design environments,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vcores_design.reassigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.static_ips.assigned,gauge,,unit,,Gets the static ips assigned count,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.static_ips.assigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.static_ips.reassigned,gauge,,unit,,Gets the static ips reassigned count,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.static_ips.reassigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpcs.assigned,gauge,,unit,,Gets the VPCs assigned count,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpcs.assigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpcs.reassigned,gauge,,unit,,Gets the VPCs reassigned count,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpcs.reassigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpns.assigned,gauge,,unit,,Gets the VPNs assigned count,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpns.assigned
ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpns.reassigned,gauge,,unit,,Gets the VPNs reassigned count,0,io_connect_mulesoft_anypoint,ioconnect.mulesoft.anypoint.access_management.organization.entitlements.vpns.reassigned
