metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.o365.activations.devices,gauge,300,device,,Device activations by device and product over report period,1,office_365,,
rapdev.o365.activations.devices.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.activations.users.activated,gauge,300,user,,User activations activated by product over report period,1,office_365,,
rapdev.o365.activations.users.assigned,gauge,300,user,,User activations assigned by product over report period,1,office_365,,
rapdev.o365.activations.users.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.activations.users.shared,gauge,300,user,,User activations activated on shared computers by product over report period,1,office_365,,
rapdev.o365.activeusers.serviceusers.active,gauge,300,user,,Active user count by product over report period,1,office_365,,
rapdev.o365.activeusers.serviceusers.inactive,gauge,300,user,,Inactive user count by product over report period,1,office_365,,
rapdev.o365.activeusers.serviceusers.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.activeusers.users,gauge,300,user,,"Active, daily user count by product",1,office_365,,
rapdev.o365.activeusers.users.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.groups.active,gauge,300,,,"Active, daily group count",1,office_365,,
rapdev.o365.groups.activity,gauge,300,,,Group daily activities count over activity types,1,office_365,,
rapdev.o365.groups.activity.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.groups.files.active,gauge,300,byte,,"Active, daily count of group files",1,office_365,,
rapdev.o365.groups.files.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.groups.files.total,gauge,300,byte,,"Total, daily count of group files",1,office_365,,
rapdev.o365.groups.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.groups.storage.mailbox.used,gauge,300,byte,,"Group daily, used mailbox storage",1,office_365,,
rapdev.o365.groups.storage.site.used,gauge,300,byte,,"Group daily, used site storage",1,office_365,,
rapdev.o365.groups.storage.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.groups.total,gauge,300,,,"Total, daily group count",1,office_365,,
rapdev.o365.onedrive.activity.files,gauge,300,file,,"OneDrive daily, unique file count by activity type",1,office_365,,
rapdev.o365.onedrive.activity.files.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.onedrive.activity.users,gauge,300,user,,"OneDrive daily, unique user count by activity type",1,office_365,,
rapdev.o365.onedrive.activity.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.onedrive.files.active,gauge,300,file,,"OneDrive daily, unique file active count by site type",1,office_365,,
rapdev.o365.onedrive.files.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.onedrive.files.total,gauge,300,file,,"OneDrive daily, unique file total count by site type",1,office_365,,
rapdev.o365.onedrive.sites.active,gauge,300,file,,"OneDrive daily, unique site active count by site type",1,office_365,,
rapdev.o365.onedrive.sites.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.onedrive.sites.total,gauge,300,,,"OneDrive daily, unique site total count by site type",1,office_365,,
rapdev.o365.onedrive.storage.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.onedrive.storage.used,gauge,300,byte,,"OneDrive used site storage in organization",1,office_365,,
rapdev.o365.onedrive.storage.allocated,gauge,300,byte,,"OneDrive allocated site storage in organization",1,office_365,,
rapdev.o365.outlook.activity,gauge,300,,,Outlook daily activity counts by activity type,1,office_365,,
