metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
datadog.marketplace.rapdev.oracle_timesten,gauge,,,,,0,oracle_timesten,,
rapdev.oracle_timesten.SQL_Sort_by_Executions,gauge,15,,,,1,oracle_timesten,,
rapdev.oracle_timesten.Non_ParseExecsPerc,gauge,15,percent,,,1,oracle_timesten,,
rapdev.oracle_timesten.LogBufferNoWaitPerc,gauge,15,percent,,,1,oracle_timesten,,
rapdev.oracle_timesten.LockHitPerc,gauge,15,percent,,,1,oracle_timesten,,
rapdev.oracle_timesten.CommandCacheHitPerc,gauge,15,percent,,,1,oracle_timesten,,
rapdev.oracle_timesten.SQL_Sort_by_Preparations,gauge,15,,,,-1,oracle_timesten,,
rapdev.oracle_timesten.memory.db.size.temp_in_use.kb,gauge,15,byte,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.db.size.temp_high_water_mark.kb,gauge,15,byte,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.db.size.temp_allocated.kb,gauge,15,byte,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.db.size.perm_in_use.kb,gauge,15,byte,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.db.size.perm_high_water_mark.kb,gauge,15,byte,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.db.size.perm_allocated.kb,gauge,15,byte,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.connections.established.threshold_exceeded,gauge,15,connection,,,-1,oracle_timesten,,
rapdev.oracle_timesten.memory.connections.established.first.count,gauge,15,connection,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.connections.established.direct,gauge,15,connection,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.connections.established.count,gauge,15,connection,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.connections.established.client_server,gauge,15,connection,,,0,oracle_timesten,,
rapdev.oracle_timesten.memory.connections.disconnected,gauge,15,connection,,,0,oracle_timesten,,
rapdev.oracle_timesten.awt.zzzinternal.repl.transmitter.drift.requests,gauge,15,,,,0,oracle_timesten,,
rapdev.oracle_timesten.awt.zzinternal.repl.transmitter.send.lag,gauge,15,,,,0,oracle_timesten,,
rapdev.oracle_timesten.awt.zzinternal.repl.transmitter.max.adapted.timeout,gauge,15,,,,0,oracle_timesten,,
rapdev.oracle_timesten.awt.zzinternal.repl.transmitter.max.actions,gauge,15,,,,0,oracle_timesten,,
rapdev.oracle_timesten.awt.zzinternal.repl.transmitter.longest.running,gauge,15,,,,0,oracle_timesten,,
