metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.github.repos.stargazers,gauge,60,,,Number of stargazers in the selected repo,1,rapdev_github,,
rapdev.github.repos.watchers,gauge,60,,,Number of watchers in the selected repo,1,rapdev_github,,
rapdev.github.repos.forks,gauge,60,,,Number of forks on the selected repo,1,rapdev_github,,
rapdev.github.repos.issues,gauge,60,,,Number of active open issues on the selected repo,1,rapdev_github,,
rapdev.github.repos.size,gauge,60,,,Size of the current selected repo,1,rapdev_github,,
rapdev.github.repos.count.total,gauge,60,,,Total amount of repos in an organization/enterprise,1,rapdev_github,,
rapdev.github.repos.pull_reqs,gauge,60,,,Total pull requests on a selected repo,1,rapdev_github,,
rapdev.github.repos.commits,gauge,60,,,Total commits on a selected repo,1,rapdev_github,,
rapdev.github.repos.commits.total,gauge,60,,,Total commits on a selected repo formatted and tagged for a pie graph,1,rapdev_github,,
rapdev.github.users.count,gauge,60,,,Total count of users in an organization/enterprise,1,rapdev_github,,
rapdev.github.runners.self_hosted_runners_total,gauge,60,,,Total count of self hosted runners in an organization/enterprise,1,rapdev_github,,
rapdev.github.runner.count,gauge,60,,,Total installed runners on an organization/enterprise,1,rapdev_github,,
rapdev.github.runners.min_used,gauge,60,,,Total minutes of runner uptime on an organization/enterprise,1,rapdev_github,,
rapdev.github.runners.paid_mins_used,gauge,60,,,Total PAID minutes (first 3000 free) on an organization/enterprise,1,rapdev_github,,
rapdev.github.repos.cachesize,gauge,60,,,The size of the cache in a selected repo,1,rapdev_github,,
rapdev.github.repos.cachecount,gauge,60,,,The cache count in a selected repo,1,rapdev_github,,
rapdev.github.repos.workflows,gauge,60,,,Amount of workflows counted by success or failure,1,rapdev_github,,
