metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.gitlab.project.count,gauge,60,,,Number of projects,1,rapdev_gitlab,,
rapdev.gitlab.project.fetches,gauge,60,,,Number of project fetches,1,rapdev_gitlab,,
rapdev.gitlab.project.labels,gauge,60,,,Number of project labels,1,rapdev_gitlab,,
rapdev.gitlab.instance.ssh_keys,gauge,60,,,Number of ssh keys in an instance,1,rapdev_gitlab,,
rapdev.gitlab.instance.forks,gauge,60,,,Number of forks in an instance,1,rapdev_gitlab,,
rapdev.gitlab.instance.issues,gauge,60,,,Number of issues in an instance,1,rapdev_gitlab,,
rapdev.gitlab.instance.notes,gauge,60,,,Number of notes in an instance,1,rapdev_gitlab,,
rapdev.gitlab.instance.active_users,gauge,60,,,Number of active users in an instance,1,rapdev_gitlab,,
rapdev.gitlab.instance.users,gauge,60,,,Number of users in an instance,1,rapdev_gitlab,,
rapdev.gitlab.instance.groups,gauge,60,,,Number of groups in an instance,1,rapdev_gitlab,,
rapdev.gitlab.instance.merge_requests,gauge,60,,,Number of merge requests in an instance,1,rapdev_gitlab,,
rapdev.gitlab.sidekiq.queue_count,gauge,60,,,Number of sidekiq queues,1,rapdev_gitlab,,
rapdev.gitlab.sidekiq.jobs_enqueued,gauge,60,,,Number of currently queued sidekiq jobs,1,rapdev_gitlab,,
rapdev.gitlab.sidekiq.jobs_processed,gauge,60,,,Number of total processed sidekiq jobs,1,rapdev_gitlab,,
rapdev.gitlab.sidekiq.jobs_failed,gauge,60,,,Number of failed sidekiq jobs,1,rapdev_gitlab,,
rapdev.gitlab.sidekiq.jobs_dead,gauge,60,,,Number of dead sidekiq jobs,1,rapdev_gitlab,,
rapdev.gitlab.runner.data,gauge,60,,,Data on runners including amount,1,rapdev_gitlab,,
rapdev.gitlab.issues,gauge,60,,,Number of issues in the org,1,rapdev_gitlab,,
rapdev.gitlab.merge_requests,gauge,60,,,Number of merge requests in the org,1,rapdev_gitlab,,
rapdev.gitlab.users,gauge,60,,,Number of users in the org,1,rapdev_gitlab,,
rapdev.gitlab.runner.status,gauge,60,,,Individual statuses of runners,1,rapdev_gitlab,,
rapdev.gitlab.runner.status_count,gauge,60,,,Number of runners per status,1,rapdev_gitlab,,
