metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.influxdb.boltdb.reads.count,count,15,read,,Total number of boltdb reads,1,rapdev_influxdb,,
rapdev.influxdb.boltdb.writes.count,count,15,write,,Total number of boltdb writes,1,rapdev_influxdb,,
rapdev.influxdb.go_gc_duration_seconds.count,count,15,,,A summary of the pause duration of garbage collection cycles,1,rapdev_influxdb,,
rapdev.influxdb.go_gc_duration_seconds.quantile,gauge,15,second,,A summary of the pause duration of garbage collection cycles,1,rapdev_influxdb,,
rapdev.influxdb.go_gc_duration_seconds.sum,count,15,,,A summary of the pause duration of garbage collection cycles,1,rapdev_influxdb,,
rapdev.influxdb.go_goroutines,gauge,15,,,Number of goroutines that currently exist,1,rapdev_influxdb,,
rapdev.influxdb.go_info,gauge,15,,,Information about the Go environment,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_alloc_bytes,gauge,15,byte,,Number of bytes allocated and still in use,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_buck_hash_sys_bytes,gauge,15,byte,,Number of bytes used by the profiling bucket hash table,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_gc_cpu_fraction,gauge,15,fraction,,The fraction of this program's available CPU time used by the GC since the program started,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_gc_sys_bytes,gauge,15,byte,,Number of bytes used for garbage collection system metadata,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_alloc_bytes,gauge,15,byte,,Number of heap bytes allocated and still in use,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_idle_bytes,gauge,15,byte,,Number of heap bytes waiting to be used,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_inuse_bytes,gauge,15,byte,,Number of heap bytes that are in use,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_objects,gauge,15,object,,Number of allocated objects,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_released_bytes,gauge,15,byte,,Number of heap bytes released to OS,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_heap_sys_bytes,gauge,15,byte,,Number of heap bytes obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_last_gc_time_seconds,gauge,15,second,,Number of seconds since 1970 of last garbage collection,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mcache_inuse_bytes,gauge,15,byte,,Number of bytes in use by mcache structures,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mcache_sys_bytes,gauge,15,byte,,Number of bytes used for mcache structures obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mspan_inuse_bytes,gauge,15,byte,,Number of bytes in use by mspan structures,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_mspan_sys_bytes,gauge,15,byte,,Number of bytes used for mspan structures obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_next_gc_bytes,gauge,15,byte,,Number of heap bytes when next garbage collection will take place,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_other_sys_bytes,gauge,15,byte,,Number of bytes used for other system allocations,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_stack_inuse_bytes,gauge,15,byte,,Number of bytes in use by the stack allocator,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_stack_sys_bytes,gauge,15,byte,,Number of bytes obtained from system for stack allocator,1,rapdev_influxdb,,
rapdev.influxdb.go_memstats_sys_bytes,gauge,15,byte,,Number of bytes obtained from system,1,rapdev_influxdb,,
rapdev.influxdb.go_threads,gauge,15,thread,,Number of OS threads created,1,rapdev_influxdb,,
rapdev.influxdb.go.memstats.frees.count,count,15,,,Total number of frees,1,rapdev_influxdb,,
rapdev.influxdb.go.memstats.lookups.count,count,15,,,Total number of pointer lookups,1,rapdev_influxdb,,
rapdev.influxdb.go.memstats.mallocs.count,count,15,,,Total number of mallocs,1,rapdev_influxdb,,
rapdev.influxdb.http_api_request_duration_seconds,gauge,15,second,,Time taken to respond to HTTP request,1,rapdev_influxdb,,
rapdev.influxdb.http_api_request_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.http_api_request_duration_seconds.sum,count,15,second,,Total time taken to respond to HTTP requests,1,rapdev_influxdb,,
rapdev.influxdb.http_api.requests.count,count,15,request,,Number of http requests received,1,rapdev_influxdb,,
rapdev.influxdb.http_query_request_bytes.count,count,15,byte,,Count of bytes received,1,rapdev_influxdb,,
rapdev.influxdb.http_query_request_count.count,count,15,request,,Total number of query requests,1,rapdev_influxdb,,
rapdev.influxdb.http_query_response_bytes.count,count,15,byte,,Count of bytes returned,1,rapdev_influxdb,,
rapdev.influxdb.http_write_request_bytes.count,count,15,byte,,Count of bytes received,1,rapdev_influxdb,,
rapdev.influxdb.http_write_request_count.count,count,15,request,,Total number of query requests,1,rapdev_influxdb,,
rapdev.influxdb.http_write_response_bytes.count,count,15,byte,,Count of bytes returned,1,rapdev_influxdb,,
rapdev.influxdb.influxdb_uptime_seconds,gauge,15,second,,influxdb process uptime in seconds,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.buckets,gauge,15,,,Number of total buckets on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.dashboards,gauge,15,,,Number of total dashboards on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.orgs,gauge,15,,,Number of total organizations on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.scrapers,gauge,15,,,Number of total scrapers on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.telegrafs,gauge,15,,,Number of total telegrafs on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.tokens,gauge,15,,,Number of total tokens on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxdb.users,gauge,15,,,Number of total users on the server,1,rapdev_influxdb,,
rapdev.influxdb.influxql_service_executing_duration_seconds.count,count,15,,,Histogram of times spent executing queries,1,rapdev_influxdb,,
rapdev.influxdb.influxql_service_executing_duration_seconds.sum,count,15,second,,     ,1,rapdev_influxdb,,
rapdev.influxdb.influxql_service_requests.count,count,15,request,,Count of the query requests,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_active,gauge,15,,,Number of queries in all states,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_duration_seconds,gauge,15,second,,Histogram of total times spent in all query states,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_all_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_active,gauge,15,,,Number of queries actively compiling,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_duration_seconds,gauge,15,second,,Histogram of times spent compiling queries,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_compiling_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_active,gauge,15,,,Number of queries actively executing,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_duration_seconds,gauge,15,second,,Histogram of times spent executing queries,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_duration_seconds.count,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_executing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_memory_unused_bytes,gauge,15,byte,,The free memory as seen by the internal memory manager,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_active,gauge,15,,,Number of queries actively queueing,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_duration_seconds,gauge,15,second,,Histogram of times spent queueing queries,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.qc_queueing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.qc.requests.count,count,15,request,,Count of the query requests,1,rapdev_influxdb,,
rapdev.influxdb.query_control_all_active,gauge,15,,,Number of queries in all states,1,rapdev_influxdb,,
rapdev.influxdb.query_control_all_duration_seconds.count,count,15,,,Histogram of total times spent in all query states,1,rapdev_influxdb,,
rapdev.influxdb.query_control_all_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_compiling_active,gauge,15,,,Number of queries actively compiling,1,rapdev_influxdb,,
rapdev.influxdb.query_control_compiling_duration_seconds.count,count,15,,,Histogram of times spent compiling queries,1,rapdev_influxdb,,
rapdev.influxdb.query_control_compiling_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_executing_active,gauge,15,,,Number of queries actively executing,1,rapdev_influxdb,,
rapdev.influxdb.query_control_executing_duration_seconds.count,count,15,,,Histogram of times spent executing queries,1,rapdev_influxdb,,
rapdev.influxdb.query_control_executing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_memory_unused_bytes,gauge,15,byte,,The free memory as seen by the internal memory manager,1,rapdev_influxdb,,
rapdev.influxdb.query_control_queueing_active,gauge,15,,,Number of queries actively queueing,1,rapdev_influxdb,,
rapdev.influxdb.query_control_queueing_duration_seconds.count,count,15,,,Histogram of times spent queueing queries,1,rapdev_influxdb,,
rapdev.influxdb.query_control_queueing_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.query_control_requests.count,count,15,request,,Count of the query requests,1,rapdev_influxdb,,
rapdev.influxdb.query_influxdb_source_read_request_duration_seconds,gauge,15,second,,Histogram of times spent in read requests,1,rapdev_influxdb,,
rapdev.influxdb.query_influxdb_source_read_request_duration_seconds.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.query_influxdb_source_read_request_duration_seconds.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.serivce_password.new_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.serivce_token.call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_annotation_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_duration.count,count,15,,,,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_duration.sum,count,15,second,,,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket_new_error.count,count,15,error,,Number of errors encountered,1,rapdev_influxdb,,
rapdev.influxdb.service_bucket.new_call.count,count,15,,,Number of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_notebook_duration,gauge,15,second,,Duration of calls,1,rapdev_influxdb,,
rapdev.influxdb.service_notebook_duration.count,count,15,,,,1,rapdev_influxdb,,
