metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
datadog.marketplace.rapdev.maxdb,gauge,15,,,,1,rapdev_maxdb,
rapdev.maxdb.backup.io_operations,gauge,15,,,Number of I/O Operations of the latest or current backup,1,rapdev_maxdb,
rapdev.maxdb.backup.io_pages,gauge,15,,,Number of pages written during the I/O operation of the backup,1,rapdev_maxdb,
rapdev.maxdb.backup.io_time,gauge,15,,,The total time spent on the I/O operations,1,rapdev_maxdb,
rapdev.maxdb.backup.pending_io_operations,gauge,15,,,The number of pending I/O operations,1,rapdev_maxdb,
rapdev.maxdb.cache.accesses,gauge,15,,,Total number of accesses to the cache,1,rapdev_maxdb,
rapdev.maxdb.cache.hit_rate,gauge,15,,,Rate at which accesses to the cache were hits,1,rapdev_maxdb,
rapdev.maxdb.cache.hits,gauge,15,,,Total number of hits to the cache,1,rapdev_maxdb,
rapdev.maxdb.cache.miss_rate,gauge,15,,,Rate at which accesses to the cache were misses,1,rapdev_maxdb,
rapdev.maxdb.cache.misses,gauge,15,,,Total number of misses to the cache,1,rapdev_maxdb,
rapdev.maxdb.catalog_cache.entrycount,gauge,15,,,Number of objects currently in the catalog cache,1,rapdev_maxdb,
rapdev.maxdb.catalog_cache.invalid_entrycount,gauge,15,,,Number of objects marked as invalid currently in the catalog cache,1,rapdev_maxdb,
rapdev.maxdb.catalog_cache.lru_entrycount,gauge,15,,,Number of entries corrently stored in the LRU list,1,rapdev_maxdb,
rapdev.maxdb.command_cache.usable_size,gauge,15,byte,,Size of the command cache,1,rapdev_maxdb,
rapdev.maxdb.command_cache.used_size,gauge,15,byte,,Size of the area of the command cache that is actually used,1,rapdev_maxdb,
rapdev.maxdb.command_cache.in_use,gauge,15,,,Size of the area of the command cache that is actually used (%),1,rapdev_maxdb,
rapdev.maxdb.command_cache.command_count,gauge,15,,,Number of stored commands,1,rapdev_maxdb,
rapdev.maxdb.command_cache.insert_command,gauge,15,,,Number of inserts,1,rapdev_maxdb,
rapdev.maxdb.command_cache.delete_command,gauge,15,,,Number of deletes,1,rapdev_maxdb,
rapdev.maxdb.command_cache.cleanup,gauge,15,,,Number of operations that encountered a lack of space in the main memory,1,rapdev_maxdb,
rapdev.maxdb.command.execute_count,gauge,15,,,Number of executions of a specific SQL statement,1,rapdev_maxdb,
rapdev.maxdb.command.io_reads,gauge,15,,,Number of read calls requested during execution of this SQL statement and done by I/O thread,1,rapdev_maxdb,
rapdev.maxdb.command.io_writes,gauge,15,,,Number of write calls during execution of this SQL statement and done by an I/O thread,1,rapdev_maxdb,
rapdev.maxdb.command.pages_read,gauge,15,,,Number of pages read during execution of this SQL statement,1,rapdev_maxdb,
rapdev.maxdb.command.pages_written,gauge,15,,,Number of pages written during the execution of this SQL statement,1,rapdev_maxdb,
rapdev.maxdb.command.physical_reads,gauge,15,,,Number of reads in the data cache that triggered reads on the disk,1,rapdev_maxdb,
rapdev.maxdb.command.rows_read,gauge,15,,,Number of rows read during execution of this SQL statement,1,rapdev_maxdb,
rapdev.maxdb.command.runtime,gauge,15,microsecond,,Kernel execution time for this SQL statement (microseconds),1,rapdev_maxdb,
rapdev.maxdb.command.total_io,gauge,15,,,Total number of read and write calls during execution of this SQL statement and done by an I/O thread,1,rapdev_maxdb,
rapdev.maxdb.command.virtual_reads,gauge,15,,,Number of virtual reads during execution of this SQL statement,1,rapdev_maxdb,
rapdev.maxdb.data_cache.usable_size,gauge,15,byte,,Size of the data cache,1,rapdev_maxdb,
rapdev.maxdb.data_cache.used_size,gauge,15,byte,,Used area of the data cache,1,rapdev_maxdb,
