metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.msteams.call.organizer,gauge,300,user,,Call organizer,1,rapdev_msteams,,
rapdev.msteams.call.participant,gauge,300,user,,Call participant,1,rapdev_msteams,,
rapdev.msteams.call.duration,gauge,300,second,,Call duration,1,rapdev_msteams,,
rapdev.msteams.call.participants,gauge,300,user,,Count of call participants,1,rapdev_msteams,,
rapdev.msteams.session.caller,gauge,300,user,,Call session caller endpoint,1,rapdev_msteams,,
rapdev.msteams.session.callee,gauge,300,user,,Call session callee endpoint,1,rapdev_msteams,,
rapdev.msteams.session.duration,gauge,300,second,,Call session duration,1,rapdev_msteams,,
rapdev.msteams.segment.duration,gauge,300,second,,Call session segment duration,1,rapdev_msteams,,
rapdev.msteams.media.device,gauge,300,,,Call media device,1,rapdev_msteams,,
rapdev.msteams.media.bandwidthloweventratio,gauge,300,,,Fraction of the call with low bandwidth causing poor audio sent quality,1,rapdev_msteams,,
rapdev.msteams.media.delayeventratio,gauge,300,,,Fraction of the call with network delay impacting two-way communication,1,rapdev_msteams,,
rapdev.msteams.media.linkspeed,gauge,300,bit,,Linkspeed reported by network adapter,1,rapdev_msteams,,
rapdev.msteams.media.receivedqualityeventratio,gauge,300,,,Fraction of the call with network causing poor audio received quality,1,rapdev_msteams,,
rapdev.msteams.media.sentqualityeventratio,gauge,300,,,Fraction of the call with network causing poor audio sent quality,1,rapdev_msteams,,
rapdev.msteams.media.wifibatterycharge,gauge,300,percent,,Estimated remaining battery charge reported by endpoint,1,rapdev_msteams,,
rapdev.msteams.media.wifisignalstrength,gauge,300,percent,,WiFi signal strength reported by endpoint,1,rapdev_msteams,,
rapdev.msteams.media.sentsignallevel,gauge,300,,,Average energy level of sent audio classified as speech,1,rapdev_msteams,,
rapdev.msteams.media.sentnoiselevel,gauge,300,,,Average energy level of sent audio classified as noise,1,rapdev_msteams,,
rapdev.msteams.media.receivedsignallevel,gauge,300,,,Average energy level of received audio classified as speech,1,rapdev_msteams,,
rapdev.msteams.media.receivednoiselevel,gauge,300,,,Average energy level of received audio classified as noise,1,rapdev_msteams,,
rapdev.msteams.media.renderzerovolumeeventratio,gauge,300,,,Fraction of the call with device render volume set to 0,1,rapdev_msteams,,
rapdev.msteams.media.rendernotfunctioningeventratio,gauge,300,,,Fraction of the call with device render not working properly,1,rapdev_msteams,,
rapdev.msteams.media.rendermuteeventratio,gauge,300,,,Fraction of the call with device render muted,1,rapdev_msteams,,
rapdev.msteams.media.micglitchrate,gauge,300,,,Glitches per 5 minute interval for the microphone,1,rapdev_msteams,,
rapdev.msteams.media.lowspeechtonoiseeventratio,gauge,300,,,Fraction of the call with low speech to noise level,1,rapdev_msteams,,
rapdev.msteams.media.lowspeechleveleventratio,gauge,300,,,Fraction of the call with low speech level,1,rapdev_msteams,,
rapdev.msteams.media.initialsignallevelrootmeansquare,gauge,300,,,The root mean square (RMS) of the incoming signal of first 30 seconds of the call,1,rapdev_msteams,,
rapdev.msteams.media.howlingeventcount,gauge,300,event,,Number of times endpoint detected howling or screeching audio,1,rapdev_msteams,,
rapdev.msteams.media.deviceglitcheventratio,gauge,300,,,Fraction of the call with glitches detected in audio,1,rapdev_msteams,,
rapdev.msteams.media.deviceclippingeventratio,gauge,300,,,Fraction of the call with clipping detected in audio,1,rapdev_msteams,,
rapdev.msteams.media.cpuinsufficienteventratio,gauge,300,,,Fraction of the call with insufficient cpu resources impacting audio,1,rapdev_msteams,,
rapdev.msteams.media.capturenotfunctioningeventratio,gauge,300,,,Fraction of the call with capture device not working,1,rapdev_msteams,,
rapdev.msteams.media.speakerglitchrate,gauge,300,,,Glitches per 5 minute internal for endpoint's loudspeaker,1,rapdev_msteams,,
rapdev.msteams.stream,gauge,300,,,Call segment stream,1,rapdev_msteams,,
rapdev.msteams.stream.averageaudiodegradation,gauge,300,,,Average Network Mean Opinion Score degradation for stream,1,rapdev_msteams,,
rapdev.msteams.stream.averageaudionetworkjitter,gauge,300,second,,Average audio network jitter for the stream,1,rapdev_msteams,,
rapdev.msteams.stream.averagebandwidthestimate,gauge,300,bit,,Average estimated bandwidth available between two endpoints,1,rapdev_msteams,,
rapdev.msteams.stream.averagejitter,gauge,300,second,,Average jitter for the stream,1,rapdev_msteams,,
rapdev.msteams.stream.averagepacketlossrate,gauge,300,percent,,Average packet loss rate for stream,1,rapdev_msteams,,
rapdev.msteams.stream.averageratioofconcealedsamples,gauge,300,,,Average ratio of audio frames with packet loss concealment to audio frames,1,rapdev_msteams,,
rapdev.msteams.stream.averagereceivedframerate,gauge,300,,,Average frames per second received for video streams,1,rapdev_msteams,,
rapdev.msteams.stream.averageroundtriptime,gauge,300,second,,Average network propagation round-trip time,1,rapdev_msteams,,
rapdev.msteams.stream.averagevideoframelosspercentage,gauge,300,percent,,Average percentage of video frames lost,1,rapdev_msteams,,
