metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.nutanix.avg_io_latency_usecs,gauge,15,microsecond,,Average read and write I/O latency of the hypervisor host,1,rapdev_nutanix,,
rapdev.nutanix.clusters.avg_io_latency_usecs,gauge,15,microsecond,,Average read and write I/O latency of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.blockCount,gauge,15,block,,Block count of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_hit,gauge,15,percent,,Cluster content cache hits over all lookups,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_logical_memory_usage_bytes,gauge,15,byte,,Logical memory used to cache data without deduplication,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_logical_ssd_usage_bytes,gauge,15,byte,,Logical SSD memory used to cache data without deduplication,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_num_dedup_ref_count_pph,gauge,15,operation,,Average number of content cache references,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_num_hits,gauge,15,hit,,Cluster content cache hits,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_num_lookups,gauge,15,operation,,Number of lookups on the content cache,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_physical_memory_usage_bytes,gauge,15,byte,,Physical memory used to cache data by the content cache,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_physical_ssd_usage_bytes,gauge,15,byte,,Physical SSD usage used to cache data by the content cache,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_saved_memory_usage_bytes,gauge,15,byte,,Memory saved due to content cache deduplication,1,rapdev_nutanix,,
rapdev.nutanix.clusters.content_cache_saved_ssd_usage_bytes,gauge,15,byte,,SSD usage saved due to content cache deduplication,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_avg_io_latency_usecs,gauge,15,microsecond,,Average read and write I/O latency of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_avg_read_io_latency_usecs,gauge,15,microsecond,,Average read I/O latency of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_avg_read_io_size_kbytes,gauge,15,kilobyte,,Average read I/O size of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_avg_write_io_latency_usecs,gauge,15,microsecond,,Average write I/O latency of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_avg_write_io_size_kbytes,gauge,15,kilobyte,,Average write I/O size of the cluster - as reported by the controller- as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_io_bandwidth_kBps,gauge,15,kilobyte,second,I/O bandwidth of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_num_io,gauge,15,operation,,Number of I/O of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_num_iops,gauge,15,operation,second,Number of IOPS of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_num_read_io,gauge,15,read,,Number of read I/O of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_num_read_iops,gauge,15,read,second,Number of read IOPS of the cluster - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.clusters.controller_num_write_io,gauge,15,write,,Number of write I/O of the cluster - as reported by the controller,1,rapdev_nutanix,,
