metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
rapdev.servicenow.429_rejections,gauge,15,response,,number of http 429 responses,1,rapdev_servicenow,
rapdev.servicenow.available_semaphores,gauge,15,,,Available semaphores per semaphore set,1,rapdev_servicenow,
rapdev.servicenow.background_progress_worker.maximum_worker_pool_size,gauge,15,worker,,Max pool size for background progress workers,1,rapdev_servicenow,
rapdev.servicenow.background_progress_worker.number_of_workers,gauge,15,worker,,Number of progress workers deployed,1,rapdev_servicenow,
rapdev.servicenow.background_scheduler.mean_queue_age,gauge,15,,,Scheduler mean queue age,1,rapdev_servicenow,
rapdev.servicenow.background_scheduler.number_of_workers,gauge,15,worker,,Deployed scheduler workers,1,rapdev_servicenow,
rapdev.servicenow.background_scheduler.queue_length,gauge,15,,,Number of jobs in scheduler queue,1,rapdev_servicenow,
rapdev.servicenow.background_scheduler.total_jobs,gauge,15,job,,Total scheduler jobs worked,1,rapdev_servicenow,
rapdev.servicenow.cache_built,gauge,15,build,,Age cache was built subtracted from current time,1,rapdev_servicenow,
rapdev.servicenow.cache_flushes,gauge,15,flush,,Number of cache flushes since last build,1,rapdev_servicenow,
rapdev.servicenow.currently_waiting_on_a_semaphore,gauge,15,session,,Sessions waiting on a semaphore inside of a set,1,rapdev_servicenow,
rapdev.servicenow.currently_waiting_on_a_session_synchronizer,gauge,15,session,,Sessions waiting on a session synchronizer,1,rapdev_servicenow,
rapdev.servicenow.database_connection_pool_s.age,gauge,15,connection,,Database connection pool age per pool,1,rapdev_servicenow,
rapdev.servicenow.database_connection_pool_s.available,gauge,15,connection,,Available connection pools per pool,1,rapdev_servicenow,
rapdev.servicenow.database_connection_pool_s.busy,gauge,15,connection,,Busy connection pools per pool,1,rapdev_servicenow,
rapdev.servicenow.database_connection_pool_s.lag,gauge,15,connection,,Database connection lag per pool,1,rapdev_servicenow,
rapdev.servicenow.database_connection_pool_s.max,gauge,15,connection,,Max connections on a database pool,1,rapdev_servicenow,
rapdev.servicenow.database_connection_pool_s.total,gauge,15,connection,,Total connections currently to the database pool,1,rapdev_servicenow,
rapdev.servicenow.database_connection_pool_s.valve_open_count,gauge,15,connection,,Open valves on database pool,1,rapdev_servicenow,
rapdev.servicenow.db_lazy_writer.current_delay_ms,gauge,15,millisecond,,Writer delay,1,rapdev_servicenow,
rapdev.servicenow.db_lazy_writer.queue_size,gauge,15,session,,Writer queue size,1,rapdev_servicenow,
rapdev.servicenow.http_response,gauge,15,response,,Response code from api requests,1,rapdev_servicenow,
rapdev.servicenow.http_response_time,gauge,15,response,,Response time from api requests,1,rapdev_servicenow,
rapdev.servicenow.incident,gauge,15,,,Age of an open incident,1,rapdev_servicenow,
rapdev.servicenow.incident_breached,gauge,15,,,Number of incidents who have breached a resolution SLA,1,rapdev_servicenow,
rapdev.servicenow.incident_count,gauge,15,,,Number of open incidents,1,rapdev_servicenow,
rapdev.servicenow.incident_resolution_time,gauge,15,,,Average SLA response in past 30 days,1,rapdev_servicenow,
rapdev.servicenow.job_duration,gauge,15,millisecond,,Duration of actively executing job,1,rapdev_servicenow,
rapdev.servicenow.job_started,gauge,15,millisecond,,Start time of actively executing job,1,rapdev_servicenow,
rapdev.servicenow.length,gauge,15,session,,Virtual agent queue length,1,rapdev_servicenow,
rapdev.servicenow.logged_in_sessions.count,gauge,15,session,,Total logged in sessions,1,rapdev_servicenow,
rapdev.servicenow.max_queue_depth,gauge,15,session,,Max queue depth for a semaphore set,1,rapdev_servicenow,
rapdev.servicenow.maximum_concurrency_achieved,gauge,15,transaction,,Max concurrency for a semaphore set,1,rapdev_servicenow,
rapdev.servicenow.maximum_transaction_concurrency,gauge,15,transaction,,Max transaction concurrency for a semaphore set,1,rapdev_servicenow,
rapdev.servicenow.mean_duration,gauge,15,millisecond,,Average duration of a job on a scheduler,1,rapdev_servicenow,
rapdev.servicenow.mean_time_waited_so_far,gauge,15,millisecond,,Time waited for a session,1,rapdev_servicenow,
rapdev.servicenow.memory_overflow,gauge,15,,,Virtual agent memory overflow,1,rapdev_servicenow,
rapdev.servicenow.offers,gauge,15,,,Virtual agent queue offers,1,rapdev_servicenow,
rapdev.servicenow.queue_age,gauge,15,millisecond,,Age of a queue per semaphore set,1,rapdev_servicenow,
rapdev.servicenow.queue_depth,gauge,15,transaction,,Depth of a queue per semaphore set,1,rapdev_servicenow,
rapdev.servicenow.queue_depth_limit,gauge,15,transaction,,Max queue depth for a semaphore set,1,rapdev_servicenow,
rapdev.servicenow.servlet_memory.allocated,gauge,15,page,,Allocated memory ,1,rapdev_servicenow,
rapdev.servicenow.servlet_memory.free_percentage,gauge,15,page,,Free percentage of memory,1,rapdev_servicenow,
rapdev.servicenow.servlet_memory.in_use,gauge,15,page,,Memory in use,1,rapdev_servicenow,
