metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
system.uptime,gauge,15,second,,Host uptime,1,rapdev_solaris_agent,
system.load.1,gauge,15,,,Host 1m load average,1,rapdev_solaris_agent,
system.load.5,gauge,15,,,Host 5m load average,1,rapdev_solaris_agent,
system.load.15,gauge,15,,,Host 15m load average,1,rapdev_solaris_agent,
system.cpu.idle,gauge,15,,,Host cpu idle average,1,rapdev_solaris_agent,
system.cpu.iowait,gauge,15,,,Host cpu iowait average,1,rapdev_solaris_agent,
system.cpu.system,gauge,15,,,Host cpu system average,1,rapdev_solaris_agent,
system.cpu.user,gauge,15,,,Host cpu user average,1,rapdev_solaris_agent,
system.mem.total,gauge,15,,,Host total physical memory,1,rapdev_solaris_agent,
system.mem.free,gauge,15,,,Host free physical memory,1,rapdev_solaris_agent,
system.mem.usable,gauge,15,,,Host used physical memory,1,rapdev_solaris_agent,
system.mem.pct_usable,gauge,15,,,Host percentage of usable physical memory,1,rapdev_solaris_agent,
system.swap.total,gauge,15,,,Host swap memory total,1,rapdev_solaris_agent,
system.swap.free,gauge,15,,,Host swap memory free,1,rapdev_solaris_agent,
system.swap.used,gauge,15,,,Host swap memory used,1,rapdev_solaris_agent,
system.swap.pct_free,gauge,15,,,Host swap memory percentage free,1,rapdev_solaris_agent,
system.io.await,gauge,15,,,Host io await,1,rapdev_solaris_agent,
system.io.r_s,gauge,15,,,Host io reads per second,1,rapdev_solaris_agent,
system.io.w_s,gauge,15,,,Host io writes per second,1,rapdev_solaris_agent,
system.io.rkb_s,gauge,15,,,Host io read kilobytes per second,1,rapdev_solaris_agent,
system.io.wkb_s,gauge,15,,,Host io write kilobytes per second,1,rapdev_solaris_agent,
system.io.util,gauge,15,,,Host io utilization,1,rapdev_solaris_agent,
system.io.svctm,gauge,15,,,Host io service time,1,rapdev_solaris_agent,
system.net.bytes_sent,gauge,15,,,Host network device bytes sent,1,rapdev_solaris_agent,
system.net.bytes_rcvd,gauge,15,,,Host network device bytes received,1,rapdev_solaris_agent,
system.net.packets_out.count,gauge,15,,,Host network device packets sent,1,rapdev_solaris_agent,
system.net.packets_in.count,gauge,15,,,Host network device packets received,1,rapdev_solaris_agent,
system.net.packets_out.error,gauge,15,,,Host network device packets sent errors,1,rapdev_solaris_agent,
system.net.packets_in.error,gauge,15,,,Host network device packets received errors,1,rapdev_solaris_agent,
system.fs.total,gauge,15,,,Host filesystem partition total size,1,rapdev_solaris_agent,
system.fs.used,gauge,15,,,Host filesystem partition used ,1,rapdev_solaris_agent,
system.fs.available,gauge,15,,,Host filesystem partition available,1,rapdev_solaris_agent,
system.fs.available.pct,gauge,15,,,Host filesystem partition available percentage,1,rapdev_solaris_agent,
system.disk.in_use,gauge,15,,,Host filesystem partition in-use percentage,1,rapdev_solaris_agent,
datadog.marketplace.rapdev.solaris_agent,gauge,15,,,,1,rapdev_solaris_agent,
