metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.terraform.org.count,gauge,60,,,Number of organizations,1,rapdev_terraform,,
rapdev.terraform.org.teams.count,gauge,60,,,Number of teams in an organization,1,rapdev_terraform,,
rapdev.terraform.org.users.count,gauge,60,,,Number of users in an organization,1,rapdev_terraform,,
rapdev.terraform.org.agent_pools.count,gauge,60,,,Number of agent pools in an organization,1,rapdev_terraform,,
rapdev.terraform.org.team.users.count,gauge,60,,,Number of users,1,rapdev_terraform,,
rapdev.terraform.org.workspace.count,gauge,60,,,Number of workspaces,1,rapdev_terraform,,
rapdev.terraform.org.workspace.run.status,gauge,60,,,Status of workspace run,1,rapdev_terraform,,
rapdev.terraform.org.workspace.runs.count,gauge,60,,,Number of runs,1,rapdev_terraform,,
rapdev.terraform.org.agent_pool.agent.status,gauge,60,,,Status of an agent pools agent,1,rapdev_terraform,,
rapdev.terraform.org.agent_pool.agents.count,gauge,60,,,Number of agents,1,rapdev_terraform,,
rapdev.terraform.org.agent_pool.auth_tokens.count,gauge,60,,,Number of auth tokens,1,rapdev_terraform,,
rapdev.terraform.org.workspace.last_updated,gauge,60,,,Days since workspace was updated,1,rapdev_terraform,,
rapdev.terraform.org.workspace.latest_run.days_since,gauge,60,,,Days since latest run in workspace,1,rapdev_terraform,,
rapdev.terraform.org.workspace.latest_run.status,gauge,60,,,The status of the workspaces latest run,1,rapdev_terraform,,
rapdev.terraform.variables.count,gauge,60,,,Number of variables ,1,rapdev_terraform,,
