metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
rapdev.zoom.api.successful_calls,gauge,60,,,Number of successfull api calls.,1,rapdev_zoom,
rapdev.zoom.api.failed_calls,gauge,60,,,Number of failed api calls.,1,rapdev_zoom,
rapdev.zoom.room.health,gauge,60,,,Current health of a zoom room.,1,rapdev_zoom,
rapdev.zoom.room.health.count,gauge,60,,,"Count of each room health state (e.g. 3 rooms in critical, 2 ok, etc..)",1,rapdev_zoom,
rapdev.zoom.room.status,gauge,60,,,Current status of a zoom room,1,rapdev_zoom,
rapdev.zoom.room.status.count,gauge,60,,,"Count of each room status state (e.g. 2 rooms offline, etc...) ",1,rapdev_zoom,
rapdev.zoom.room.component.status,gauge,60,,,"Status of each component (e.g. microphone offline, speaker online, etc...)",1,rapdev_zoom,
rapdev.zoom.meetings.count,gauge,60,,,Total number of ongoing meetings,1,rapdev_zoom,
rapdev.zoom.meetings.participants,gauge,60,,,Total number of meeting participants,1,rapdev_zoom,
rapdev.zoom.user.qos.jitter,gauge,60,millisecond,,Jitter for each user in milliseconds,1,rapdev_zoom,
rapdev.zoom.user.qos.bitrate,gauge,60,,,Bitrate for each user in kbps,1,rapdev_zoom,
rapdev.zoom.user.qos.latency,gauge,60,millisecond,,Latency for each user in milliseconds,1,rapdev_zoom,
rapdev.zoom.user.qos.average_loss,gauge,60,,,Percentage of average loss for each user,1,rapdev_zoom,
rapdev.zoom.user.qos.max_loss,gauge,60,,,Percentage of max loss for each user,1,rapdev_zoom,
rapdev.zoom.users.active.count,gauge,60,,,Total number of active zoom users per account,1,rapdev_zoom,
rapdev.zoom.users.in_meetings.count,gauge,60,,,Total number of users in meetings ,1,rapdev_zoom,
rapdev.zoom.meeting.qos.jitter,gauge,60,millisecond,,Jitter for each meeting in milliseconds,1,rapdev_zoom,
rapdev.zoom.meeting.qos.bitrate,gauge,60,,,Bitrate for each meeting in kbps,1,rapdev_zoom,
rapdev.zoom.meeting.qos.latency,gauge,60,millisecond,,Latency for each meeting in milliseconds,1,rapdev_zoom,
rapdev.zoom.meeting.qos.max_loss,gauge,60,,,Percentage of max loss for each meeting,1,rapdev_zoom,
rapdev.zoom.meeting.qos.average_loss,gauge,60,,,Percentage of average loss for each meeting,1,rapdev_zoom,
rapdev.zoom.user.qos.cpu.avg_usage,gauge,60,,,Percentage of average CPU usage,1,rapdev_zoom,
rapdev.zoom.user.qos.cpu.max_usage,gauge,60,,,Percentage of maximum CPU usage,1,rapdev_zoom,
rapdev.zoom.user.qos.cpu.min_usage,gauge,60,,,Percentage of minimum CPU usage,1,rapdev_zoom,
rapdev.zoom.user.qos.cpu.system_max_usage,gauge,60,,,Percentage of total system CPU usage,1,rapdev_zoom,
