metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
hardware_sentry.agent.info,gauge,,,,Hardware Sentry agent information,1,hardware_sentry,agent.info,
hardware_sentry.connector.status,gauge,,,,Connector status,0,hardware_sentry,connector.status,
hw.host.configured,gauge,,,,Indicates whether the monitoring of the host is configured,1,hardware_sentry,host.configured,
hardware_sentry.host.up,gauge,,,,Indicates whether the host is present and responding,1,hardware_sentry,host.up,
hw.status,gauge,,,,Status of the monitored device,0,hardware_sentry,status,
hw.energy,count,,,,Energy usage of the monitored device (in joules),0,hardware_sentry,energy,
hw.power,gauge,,watt,,Power consumption of the monitored device,0,hardware_sentry,power,
hw.errors,count,,error,,Number of detected errors,0,hardware_sentry,errors,
hw.host.ambient_temperature,gauge,,degree celsius,,Host ambient temperature,0,hardware_sentry,target.ambient_temperature,
hw.host.energy,count,,,,Counter of the energy consumed by this host in Joules,0,hardware_sentry,host.energy,
hw.host.heating_margin,gauge,,degree celsius,,Number of degrees before reaching the closest warning threshold,1,hardware_sentry,host.heating_margin,
hw.host.power,gauge,,watt,,Amount of watts consumed by all the discovered components on the monitored host,0,hardware_sentry,host.power,
hw.battery.charge,gauge,,percent,,Battery charge ratio,1,hardware_sentry,battery.charge,
hw.battery.time_left,gauge,,second,,Battery time left,1,hardware_sentry,battery.time_left,
hw.blade.power_state,gauge,,,,Indicates whether the blade is currently on or off,0,hardware_sentry,blade.power_state,
hw.cpu.speed,gauge,,hertz,,CPU current speed,0,hardware_sentry,cpu.speed,cpu
hw.cpu.speed_limit,gauge,,hertz,,CPU maximum speed,0,hardware_sentry,cpu.speed_limit,cpu
hw.cpu_core.speed,gauge,,hertz,,CPU core current speed,0,hardware_sentry,cpu_core.speed,
hw.cpu_core.utilization,gauge,,percent,,CPU core used time ratio,-1,hardware_sentry,cpu_core.utilization,
hw.enclosure.energy,count,,,,Enclosure total consumed energy in Joules,0,hardware_sentry,enclosure.energy,
hw.enclosure.power,gauge,,watt,,Enclosure power consumption,0,hardware_sentry,enclosure.power,
hw.fan.speed_ratio,gauge,,percent,,Fan speed ratio,1,hardware_sentry,fan.speed_ratio,
hw.fan.speed_ratio.limit,gauge,,,,Alert threshold for hw.fan.speed_ratio,0,hardware_sentry,fan.speed_ratio.limit,
hw.fan.speed,gauge,,,minute,Fan speed,1,hardware_sentry,fan.speed,
